count	 id	 x	 y	 theta	 theta_deg
50560	 0	 0.258691	 0.128700	 -1.998931	 -114.530306
50560	 1	 0.155150	 0.044853	 -1.932436	 -110.720426
50560	 2	 0.143494	 0.169293	 -1.854310	 -106.244159
50560	 3	 0.068632	 0.075436	 -1.956646	 -112.107549
50560	 4	 0.028647	 0.188309	 -1.909713	 -109.418510
51200	 0	 0.376404	 0.174100	 -2.052006	 -117.571297
51200	 1	 0.272161	 0.087857	 -1.940340	 -111.173288
51200	 2	 0.262350	 0.216267	 -1.959688	 -112.281855
51200	 3	 0.175899	 0.114581	 -1.908732	 -109.362284
51200	 4	 0.143293	 0.230349	 -1.938149	 -111.047784
51840	 0	 0.376404	 0.174100	 -2.052006	 -117.571297
51840	 1	 0.272161	 0.087857	 -1.940340	 -111.173288
51840	 2	 0.262350	 0.216267	 -1.959688	 -112.281855
51840	 3	 0.175899	 0.114581	 -1.908732	 -109.362284
51840	 4	 0.143293	 0.230349	 -1.938149	 -111.047784
52480	 0	 0.376404	 0.174100	 -2.052006	 -117.571297
52480	 1	 0.272161	 0.087857	 -1.940340	 -111.173288
52480	 2	 0.262350	 0.216267	 -1.959688	 -112.281855
52480	 3	 0.175899	 0.114581	 -1.908732	 -109.362284
52480	 4	 0.143293	 0.230349	 -1.938149	 -111.047784
53120	 0	 0.489176	 0.233568	 -2.093068	 -119.923970
53120	 1	 0.390264	 0.137140	 -1.940945	 -111.207938
53120	 2	 0.370848	 0.256463	 -1.910549	 -109.466376
53120	 3	 0.276774	 0.152637	 -1.941031	 -111.212897
